Stock,Portfolio,Beta
BANKBARODA.NS,IIP,0.7558905000870618
BANKBARODA.NS,CPI,0.6689850388013605
IOC.NS,GDP,0.6674868813014203
IOC.NS,IIP,0.4603650350777217
IOC.NS,CPI,0.49199159144417115
NHPC.NS,GDP,0.5941181465674917
NHPC.NS,IIP,0.4717466599629477
NHPC.NS,CPI,0.5023139812211194
TCS.NS,GDP,0.32626151879753557
TCS.NS,IIP,0.13724414457398754
TCS.NS,CPI,0.28679689862850494
RCF.NS,GDP,0.9804791433140956
RCF.NS,IIP,0.7722666806058164
RCF.NS,CPI,0.8073512354340818
ADANIENT.NS,GDP,1.1270855711062802
ADANIENT.NS,IIP,0.7640917819340834
ADANIENT.NS,CPI,0.8282833266843967
JYOTHYLAB.NS,GDP,0.5639912617443522
JYOTHYLAB.NS,IIP,0.33239635771902126
JYOTHYLAB.NS,CPI,0.5187781093012659
SUNDARMFIN.NS,GDP,0.42570357287695515
SUNDARMFIN.NS,IIP,0.24867526336378357
SUNDARMFIN.NS,CPI,0.3170979524664469
TATACONSUM.NS,GDP,0.8071879133835484
TATACONSUM.NS,IIP,0.5233814093869129
TATACONSUM.NS,CPI,0.7501218959284192
AMBUJACEM.NS,GDP,0.9416964226790395
AMBUJACEM.NS,IIP,0.4908786477192009
AMBUJACEM.NS,CPI,0.6345259893483588
GILLETTE.NS,GDP,0.3027666459063695
GILLETTE.NS,IIP,0.1594522725398042
GILLETTE.NS,CPI,0.2769200236219926
ONGC.NS,GDP,0.5946620796767208
ONGC.NS,IIP,0.4248820881028152
ONGC.NS,CPI,0.42910245929239926
ZYDUSLIFE.NS,GDP,0.5400318757585107
ZYDUSLIFE.NS,IIP,0.3400121274665094
ZYDUSLIFE.NS,CPI,0.5366388609080059
TRENT.NS,GDP,0.6467645399417591
TRENT.NS,IIP,0.3653536209949891
TRENT.NS,CPI,0.5497598313935702
BEML.NS,GDP,1.0088091952029004
BEML.NS,IIP,0.7161296361330631
BEML.NS,CPI,0.7550480703375463
BAJFINANCE.NS,GDP,0.953221659044157
BAJFINANCE.NS,IIP,0.47013894565426284
BAJFINANCE.NS,CPI,0.695746262256935
KANSAINER.NS,GDP,0.4305272819469176
KANSAINER.NS,IIP,0.2525269669987498
KANSAINER.NS,CPI,0.3899307115679801
TTML.NS,GDP,0.7204319424563204
TTML.NS,IIP,0.6409333465907192
TTML.NS,CPI,0.6350441304976693
LT.NS,GDP,0.8232181920770612
LT.NS,IIP,0.4523923720480898
LT.NS,CPI,0.5423213502739365
JKCEMENT.NS,GDP,0.6406196330548649
JKCEMENT.NS,IIP,0.39393567305270843
JKCEMENT.NS,CPI,0.43679417072278454
USHAMART.NS,GDP,0.8558528875632833
USHAMART.NS,IIP,0.6371522008867483
USHAMART.NS,CPI,0.6781783620329334
ITC.NS,GDP,0.4027514070802544
ITC.NS,IIP,0.22854876233961682
ITC.NS,CPI,0.43700640210363384
HINDCOPPER.NS,GDP,0.9584354293462701
HINDCOPPER.NS,IIP,0.7408056178529709
HINDCOPPER.NS,CPI,0.6975553019423912
BAJAJ-AUTO.NS,GDP,0.6934426687231185
BAJAJ-AUTO.NS,IIP,0.29835272128833346
BAJAJ-AUTO.NS,CPI,0.44131008616964346
IIFL.NS,GDP,0.90215538088181
IIFL.NS,IIP,0.5954848249776358
IIFL.NS,CPI,0.6291450758196176
BERGEPAINT.NS,GDP,0.5975118101744601
BERGEPAINT.NS,IIP,0.26871399641198807
BERGEPAINT.NS,CPI,0.5603205325731284
TATACHEM.NS,GDP,0.7507200188097388
TATACHEM.NS,IIP,0.5362438244771068
TATACHEM.NS,CPI,0.5915229765678829
JPPOWER.NS,GDP,0.9141202192847118
JPPOWER.NS,IIP,0.8061220413753308
JPPOWER.NS,CPI,0.7825269080062323
WELSPUNLIV.NS,GDP,0.8563933856051453
WELSPUNLIV.NS,IIP,0.5876771026027581
WELSPUNLIV.NS,CPI,0.7320404617238139
BHARATFORG.NS,GDP,0.9693297744408179
BHARATFORG.NS,IIP,0.5330183458164178
BHARATFORG.NS,CPI,0.6079985062985803
CASTROLIND.NS,GDP,0.5821094746992095
CASTROLIND.NS,IIP,0.3690908621251643
CASTROLIND.NS,CPI,0.46641363248218526
CHOLAHLDNG.NS,GDP,0.47534265356051336
CHOLAHLDNG.NS,IIP,0.2887182272473564
CHOLAHLDNG.NS,CPI,0.4012238924957895
AJANTPHARM.NS,GDP,0.4968438012235962
AJANTPHARM.NS,IIP,0.3084846438852865
AJANTPHARM.NS,CPI,0.9711842414965207
CUMMINSIND.NS,GDP,0.5693144207978342
CUMMINSIND.NS,IIP,0.3705085538342592
CUMMINSIND.NS,CPI,0.3933817334862333
OBEROIRLTY.NS,GDP,0.6741517678803205
OBEROIRLTY.NS,IIP,0.4748949520646308
OBEROIRLTY.NS,CPI,0.5118516967547844
RECLTD.NS,GDP,0.9741350348036077
RECLTD.NS,IIP,0.720549765028705
RECLTD.NS,CPI,0.7504230000977155
TVSMOTOR.NS,GDP,0.9644403457344934
TVSMOTOR.NS,IIP,0.5256957098627771
TVSMOTOR.NS,CPI,0.6651627670046965
VGUARD.NS,GDP,0.45714117820383215
VGUARD.NS,IIP,0.35625458094601914
VGUARD.NS,CPI,0.4109347413142144
TECHM.NS,GDP,0.4903247434865759
TECHM.NS,IIP,0.2514685698688195
TECHM.NS,CPI,0.401973032537623
ESCORTS.NS,GDP,1.0156362253709217
ESCORTS.NS,IIP,0.6530549951444189
ESCORTS.NS,CPI,0.8264546644090278
MOTHERSON.NS,GDP,0.8810665571764498
MOTHERSON.NS,IIP,0.5268846935355879
MOTHERSON.NS,CPI,0.6275475628499596
DIVISLAB.NS,GDP,0.5030410531995083
DIVISLAB.NS,IIP,0.3174346951499599
DIVISLAB.NS,CPI,0.5213158341682083
BAJAJFINSV.NS,GDP,0.8697738576343483
BAJAJFINSV.NS,IIP,0.45351845438320704
BAJAJFINSV.NS,CPI,0.5847813327578864
NATCOPHARM.NS,GDP,0.5239686995967057
NATCOPHARM.NS,IIP,0.3727451096010212
NATCOPHARM.NS,CPI,0.48883873234223385
SAIL.NS,GDP,1.091829050336389
SAIL.NS,IIP,0.8222480884398835
SAIL.NS,CPI,0.7551494664730184
J&KBANK.NS,GDP,0.7043720938949606
J&KBANK.NS,IIP,0.5119891325496254
J&KBANK.NS,CPI,0.4994152941335415
WIPRO.NS,GDP,0.3740858292706606
WIPRO.NS,IIP,0.19101722358673648
WIPRO.NS,CPI,0.3656520095155805
NCC.NS,GDP,1.3434360356777766
NCC.NS,IIP,0.9265911060083685
NCC.NS,CPI,0.8956644326457086
GLENMARK.NS,GDP,0.7922607157126648
GLENMARK.NS,IIP,0.3954183051875583
GLENMARK.NS,CPI,0.528116440112348
KPRMILL.NS,GDP,0.6724985380085109
KPRMILL.NS,IIP,0.47791196117724977
